2022-05-09 03:34:35,786 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 03:34:35,786 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 03:34:35,786 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 03:34:35,978 [daml.index.db.connection.api-server housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - daml.index.db.connection.api-server - Thread starvation or clock leap detected (housekeeper delta=3h29s935ms552탎100ns).
2022-05-09 03:34:40,473 [daml.index.db.threadpool.connection.indexer-14] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(00000000000000000b)),2022-05-09T00:00:00Z), context: {participant: "sandbox"}
2022-05-09 03:34:40,475 [daml.index.db.threadpool.connection.indexer-14] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(00000000000000000b)),2022-05-09T00:00:00Z), context: {participant: "sandbox"}
2022-05-09 03:34:40,475 [daml.index.db.threadpool.connection.indexer-10] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(00000000000000000b)),2022-05-09T01:00:00Z), context: {participant: "sandbox"}
2022-05-09 03:34:40,476 [daml.index.db.threadpool.connection.indexer-10] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(00000000000000000b)),2022-05-09T01:00:00Z), context: {participant: "sandbox"}
2022-05-09 03:34:40,476 [daml.index.db.threadpool.connection.indexer-12] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(00000000000000000b)),2022-05-09T02:00:00Z), context: {participant: "sandbox"}
2022-05-09 03:34:40,477 [daml.index.db.threadpool.connection.indexer-12] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(00000000000000000b)),2022-05-09T02:00:00Z), context: {participant: "sandbox"}
2022-05-09 03:34:40,477 [daml.index.db.threadpool.connection.indexer-16] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,477 [daml.index.db.threadpool.connection.indexer-13] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,478 [daml.index.db.threadpool.connection.indexer-0] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,478 [daml.index.db.threadpool.connection.indexer-1] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,478 [daml.index.db.threadpool.connection.indexer-15] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,478 [daml.index.db.threadpool.connection.indexer-15] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,478 [daml.index.db.threadpool.connection.indexer-3] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,479 [daml.index.db.threadpool.connection.indexer-4] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,479 [daml.index.db.threadpool.connection.indexer-5] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,479 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,479 [daml.index.db.threadpool.connection.indexer-7] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,479 [daml.index.db.threadpool.connection.indexer-9] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,480 [daml.index.db.threadpool.connection.indexer-8] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,480 [daml.index.db.threadpool.connection.indexer-11] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,480 [daml.index.db.threadpool.connection.indexer-8] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,480 [daml.index.db.threadpool.connection.indexer-10] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,480 [daml.index.db.threadpool.connection.indexer-12] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,480 [daml.index.db.threadpool.connection.indexer-16] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,481 [daml.index.db.threadpool.connection.indexer-13] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,481 [daml.index.db.threadpool.connection.indexer-0] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,481 [daml.index.db.threadpool.connection.indexer-1] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,481 [daml.index.db.threadpool.connection.indexer-2] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,481 [daml.index.db.threadpool.connection.indexer-15] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,482 [daml.index.db.threadpool.connection.indexer-3] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,482 [daml.index.db.threadpool.connection.indexer-4] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,482 [daml.index.db.threadpool.connection.indexer-5] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,482 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:40,572 [daml.index.db.threadpool.connection.indexer-7] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 13:58:19,635 [canton-env-execution-context-31] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,635 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,635 [canton-env-execution-context-26] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,636 [canton-env-execution-context-26] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,638 [canton-env-execution-context-26] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,636 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,639 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,639 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,639 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,640 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,641 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,641 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,641 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,642 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,642 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,636 [canton-env-execution-context-39] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,954 [canton-env-execution-context-39] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,636 [canton-env-execution-context-31] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,643 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:19,638 [canton-env-execution-context-26] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
2022-05-09 13:58:22,787 [canton-env-execution-context-31] INFO  c.d.c.p.p.AcsCommitmentProcessor:participant=sandbox/domain=local tid:e531629c4586490f097016884d6cdf25 - Deleted buffered commitments and set last computed and sent timestamp set to 2022-05-09T12:58:00Z
2022-05-09 13:58:43,235 [daml.index.db.connection.indexer housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - daml.index.db.connection.indexer - Thread starvation or clock leap detected (housekeeper delta=10h24m16s528ms941탎200ns).
2022-05-09 13:58:43,237 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,237 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,237 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,238 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,238 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,238 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,238 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,238 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,239 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,239 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,239 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 13:58:43,239 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
